trajectory_id,group,run_family,run_stamp,traj_group,traj_name,image_file,lang_original,normal_action,paraphrased_action,contradictory_action,neutral_action
006,initial,2023-01-04_pnp_objects,2023-01-04_12-52-41,traj_group0,traj21,traj006_initial.jpg,pick up the object,"[-0.016537006944417953, 0.022239064797759056, 0.0007980572991073132, 0.02732067182660103, 0.07759357243776321, -0.0774330198764801, 0.0]","[-0.016537006944417953, 0.02062026597559452, -0.005177923943847418, -0.023128272965550423, 0.07759357243776321, -0.1080571785569191, 0.9960784316062927]","[-0.016537006944417953, 0.029038021340966225, 0.004175785928964615, 0.030513642355799675, 0.03204277157783508, 0.16272489726543427, 0.0]","[-0.00870840810239315, -0.035390183329582214, 0.008073165081441402, 0.0024154961574822664, -0.031594373285770416, -0.05164425075054169, 0.0]"
006,final,2023-01-04_pnp_objects,2023-01-04_12-52-41,traj_group0,traj21,traj006_final.jpg,pick up the object,"[-0.018550075590610504, 0.015763867646455765, -0.0020600208081305027, 0.03434520587325096, 0.06285654753446579, -0.16769370436668396, 0.9960784316062927]","[-0.018550075590610504, 0.015763867646455765, -0.001540370169095695, 0.01710316352546215, 0.043430473655462265, -0.012961096130311489, 0.9960784316062927]","[-0.006247991696000099, -0.0017191617516800761, 0.0023570088669657707, -0.030791403725743294, -0.01685735024511814, -0.03069087490439415, 0.9960784316062927]","[-0.011392499320209026, 0.0076698730699718, -0.018429012969136238, -0.030791403725743294, 0.00993723701685667, -0.0016785094048827887, 0.9960784316062927]"
007,initial,2023-01-11_pnp_objects,2023-01-22_14-50-42,traj_group0,traj42,traj007_initial.jpg,pick up the object,"[0.009856553748250008, 0.0031372355297207832, -0.019987965002655983, -0.003331851912662387, 0.022664666175842285, 0.016051270067691803, 0.0]","[0.009856553748250008, 0.0031372355297207832, -0.019987965002655983, -0.003331851912662387, 0.022664666175842285, 0.016051270067691803, 0.0]","[0.007396136876195669, 0.0021659559570252895, -0.01323250774294138, 0.023489106446504593, -0.05905882641673088, -0.009737499989569187, 0.0]","[0.009856553748250008, 0.006051073782145977, 0.010931243188679218, -0.002054663607850671, -0.026905320584774017, 0.011215874925255775, 0.0]"
007,final,2023-01-11_pnp_objects,2023-01-22_14-50-42,traj_group0,traj42,traj007_final.jpg,pick up the object,"[-0.0013271585339680314, -0.01596459373831749, -0.007776177022606134, 0.0030540903098881245, -0.0088189747184515, -0.05970323830842972, 0.9960784316062927]","[-0.0013271585339680314, -0.01596459373831749, -0.007776177022606134, 0.0030540903098881245, 0.011276966892182827, -0.05003245174884796, 0.9960784316062927]","[-0.00826106034219265, -0.004956759978085756, 0.001577533083036542, -0.014187953434884548, -0.026905320584774017, 0.0015450867358595133, 0.9960784316062927]","[-0.00244552968069911, 0.0015184363583102822, -0.0005010690656490624, -0.0007774750120006502, 0.013956425711512566, 0.00638048117980361, 0.9960784316062927]"
008,initial,pnp_utensils_12-07_rigid_objects,2022-12-08_14-43-29,traj_group0,traj11,traj008_initial.jpg,pick up the utensil,"[-0.0028928781393915415, -0.0020429217256605625, -0.011413730680942535, -0.020573895424604416, 0.030703043565154076, 0.011215874925255775, 0.9960784316062927]","[0.012987992726266384, -0.020820992067456245, 0.004955261945724487, -0.004609040450304747, -0.05570950359106064, -0.053256046026945114, 0.0]","[-0.0017745069926604629, 0.007993632927536964, -0.004138622898608446, -0.007163417525589466, 0.0052481843158602715, 0.02894565463066101, 0.0]","[-0.008932082913815975, 0.004756034817546606, -0.006477050483226776, -0.0078020114451646805, -0.0027901919092983007, 0.035392846912145615, 0.0]"
008,final,pnp_utensils_12-07_rigid_objects,2022-12-08_14-43-29,traj_group0,traj11,traj008_final.jpg,pick up the utensil,"[-0.019444772973656654, 0.013173789717257023, 0.003915960434824228, 0.06882929801940918, 0.018645478412508965, 0.0015450867358595133, 0.9960784316062927]","[-0.019444772973656654, 0.013173789717257023, -0.0036189723759889603, 0.048394281417131424, 0.018645478412508965, -0.06776223331689835, 0.9960784316062927]","[-0.015418635681271553, 0.012850030325353146, 0.003136484883725643, 0.05158725008368492, -0.0034600566141307354, 0.20301984250545502, 0.9960784316062927]","[-0.0073663629591465, 0.02062026597559452, 0.008332990109920502, 0.047117091715335846, -0.009488838724792004, 0.09986476600170135, 0.9960784316062927]"
009,initial,2022-12-15_pnp_many_objects_in_env,2022-12-15_14-48-54,traj_group0,traj138,traj009_initial.jpg,pick up the target object among many objects,"[-0.015642309561371803, 0.009936192072927952, 0.01223036926239729, 0.049032874405384064, 0.017975613474845886, 0.07568779587745667, 0.9960784316062927]","[-0.007813711650669575, 0.004756034817546606, 0.002097183605656028, 0.0011383076198399067, -0.01082856860011816, 0.04828723147511482, 0.9960784316062927]","[-0.015642309561371803, 0.009936192072927952, -0.001280544907785952, 0.08160118013620377, 0.07759357243776321, 0.0466754324734211, 0.9960784316062927]","[-0.0049059465527534485, -0.0017191617516800761, -0.015570934861898422, -0.003331851912662387, 0.04276060685515404, -0.0032903074752539396, 0.9960784316062927]"
009,final,2022-12-15_pnp_many_objects_in_env,2022-12-15_14-48-54,traj_group0,traj138,traj009_final.jpg,pick up the target object among many objects,"[-0.021681513637304306, 0.01511634886264801, 0.005474912468343973, 0.031152237206697464, -0.019536809995770454, 0.20301984250545502, 0.9960784316062927]","[-0.021681513637304306, 0.01511634886264801, 0.005474912468343973, 0.031152237206697464, 0.017305748537182808, 0.04184003919363022, 0.9960784316062927]","[-0.0049059465527534485, -0.004633000120520592, 0.003656135406345129, 0.022850511595606804, -0.026905320584774017, 0.012827672995626926, 0.9960784316062927]","[-0.019444772973656654, 0.02418162301182747, -0.008815477602183819, 0.05478022247552872, 0.013286560773849487, 0.04022824019193649, 0.9960784316062927]"
010,initial,2022-12-09_pnp_soft_toys,2022-12-09_16-31-56,traj_group0,traj45,traj010_initial.jpg,pick up the soft toy,"[-0.027944393455982208, -0.014669554308056831, 0.005994562990963459, -0.003970446065068245, 0.0052481843158602715, 0.02088666334748268, 0.0]","[-0.016760680824518204, -0.024382349103689194, 0.002097183605656028, 0.022850511595606804, -0.01551762130111456, -0.029079075902700424, 0.0]","[-0.018997423350811005, -0.014993314631283283, 0.012490194290876389, 0.0011383076198399067, -0.03025464527308941, 0.012827672995626926, 0.0]","[-0.016537006944417953, -0.003337960923090577, 0.014049146324396133, -0.03270718827843666, -0.019536809995770454, -0.027467278763651848, 0.0]"
010,final,2022-12-09_pnp_soft_toys,2022-12-09_16-31-56,traj_group0,traj45,traj010_final.jpg,pick up the soft toy,"[-0.005129620432853699, -0.020820992067456245, -0.0010207196464762092, -0.030791403725743294, -0.04633139818906784, 0.011215874925255775, 0.9960784316062927]","[-0.005129620432853699, -0.0023666813503950834, -0.01297268271446228, -0.010994982905685902, 0.04142087697982788, -6.67113417875953e-05, 0.9960784316062927]","[-0.006695340387523174, -0.005280519835650921, -0.001280544907785952, -0.04420188441872597, 0.003238590434193611, -0.024243682622909546, 0.9960784316062927]","[0.0013569323346018791, 0.0021659559570252895, -0.0023198460694402456, 0.00688565568998456, -0.011498433537781239, 0.007992278784513474, 0.9960784316062927]"
011,initial,sweep_12-03,2022-12-05_13-20-15,traj_group0,traj222,traj011_initial.jpg,sweep the object across the surface,"[0.005383068695664406, 0.030980579555034637, 0.00027840674738399684, 0.0011383076198399067, -0.005469650961458683, 0.09502937644720078, 0.9960784316062927]","[0.005383068695664406, -0.0013954020105302334, -0.01297268271446228, -0.002693257760256529, -0.0014504624996334314, -0.0339144691824913, 0.9960784316062927]","[0.011198598891496658, 0.0015184363583102822, -0.009335128590464592, 0.0011383076198399067, 0.00591804925352335, 0.016051270067691803, 0.9960784316062927]","[0.004488371778279543, 0.026771701872348785, -0.0028394965920597315, 0.027959264814853668, -0.0027901919092983007, 0.051510825753211975, 0.9960784316062927]"
011,final,sweep_12-03,2022-12-05_13-20-15,traj_group0,traj222,traj011_final.jpg,sweep the object across the surface,"[0.00046223538811318576, 0.00022339713177643716, -0.02414516918361187, -0.018658112734556198, 0.05280857905745506, -6.67113417875953e-05, 0.9960784316062927]","[0.00046223538811318576, -0.00010036268940893933, 1.8581469703349285e-05, 0.0004997134092263877, -0.0027901919092983007, 0.0031568848062306643, 0.9960784316062927]","[-0.018102725967764854, 0.013173789717257023, 0.004175785928964615, 0.011355815455317497, -0.006809380371123552, 0.04022824019193649, 0.9960784316062927]","[-0.003116552485153079, -0.01207947637885809, 0.009112466126680374, 0.021573323756456375, -0.023555997759103775, -0.04197346046566963, 0.9960784316062927]"
012,initial,pnp_utensils_11-29,2022-11-29_15-24-23,traj_group0,traj220,traj012_initial.jpg,pick up the utensil,"[-0.005353294778615236, -0.0007478823536075652, -0.014011983759701252, -0.005247634835541248, 0.03807155415415764, -6.67113417875953e-05, 0.9960784316062927]","[-0.005353294778615236, -0.0007478823536075652, -0.015570934861898422, -0.005247634835541248, 0.044100336730480194, 0.004768683109432459, 0.9960784316062927]","[-0.004458597861230373, -0.0007478823536075652, -0.01609058491885662, -0.0078020114451646805, 0.044100336730480194, 0.004768683109432459, 0.9960784316062927]","[-0.005353294778615236, -0.0013954020105302334, -0.013492332771420479, -0.005247634835541248, 0.04209074378013611, 0.00638048117980361, 0.9960784316062927]"
012,final,pnp_utensils_11-29,2022-11-29_15-24-23,traj_group0,traj220,traj012_final.jpg,pick up the utensil,"[-0.0013271585339680314, -0.006899319123476744, -0.006996701005846262, -0.01610373705625534, -0.024225862696766853, -0.006513903848826885, 0.9960784316062927]","[-0.0013271585339680314, -0.006899319123476744, -0.005437749437987804, 0.0004997134092263877, -0.0034600566141307354, -0.011349298059940338, 0.9960784316062927]","[-0.004234923515468836, 0.026447942480444908, -0.0028394965920597315, -0.021212490275502205, -0.004129921551793814, 0.08697038143873215, 0.9960784316062927]","[-0.0013271585339680314, -0.014345794916152954, -0.007256526034325361, -0.002693257760256529, 0.009267373010516167, -0.03874986618757248, 0.9960784316062927]"
013,initial,2023-05-25_bin_pnp,2023-05-26_11-58-22,traj_group0,traj130,traj013_initial.jpg,pick up the object and place it in the bin,"[-0.003116552485153079, -0.0013954020105302334, -0.004658273421227932, -0.01227217074483633, 0.011276966892182827, 0.007992278784513474, 0.9960784316062927]","[0.004488371778279543, -0.014022034592926502, -0.001540370169095695, -0.019296707585453987, 0.010607101954519749, -0.03069087490439415, 0.9960784316062927]","[-0.0004324615583755076, -0.025029869750142097, 0.001057882560417056, -0.07677018642425537, 0.010607101954519749, -0.04197346046566963, 0.0]","[0.004488371778279543, -0.005280519835650921, -0.02466481924057007, -0.039731722325086594, 0.07759357243776321, 0.03861644119024277, 0.0]"
013,final,2023-05-25_bin_pnp,2023-05-26_11-58-22,traj_group0,traj130,traj013_final.jpg,pick up the object and place it in the bin,"[-0.002221855567768216, -0.00042412252514623106, -0.001800195430405438, -0.002693257760256529, 0.007257778663188219, -0.0016785094048827887, 0.9960784316062927]","[-0.002221855567768216, -0.00042412252514623106, -0.0025796713307499886, -0.0014160692226141691, 0.010607101954519749, 0.0015450867358595133, 0.9960784316062927]","[-0.0006561357877217233, -0.00042412252514623106, -0.0023198460694402456, -0.002054663607850671, 0.007257778663188219, -0.0032903074752539396, 0.9960784316062927]","[-0.0013271585339680314, -0.00042412252514623106, -0.0023198460694402456, 0.0011383076198399067, 0.009267373010516167, -0.0032903074752539396, 0.9960784316062927]"
014,initial,2022-12-09_pnp_soft_toys,2022-12-09_15-16-08,traj_group0,traj65,traj014_initial.jpg,pick up the soft toy,"[-0.0019981812220066786, 0.0037847552448511124, -0.01453163381665945, 0.01646456867456436, 0.043430473655462265, -0.012961096130311489, 0.9960784316062927]","[-0.0019981812220066786, 0.007993632927536964, -0.008815477602183819, 0.06180476024746895, -0.014177892357110977, -0.09677459299564362, 0.9960784316062927]","[1.4886919416312594e-05, -0.0007478823536075652, -0.00024124380433931947, 0.004969872999936342, 0.003908454906195402, -0.004902105778455734, 0.9960784316062927]","[-0.0011034843046218157, -0.0007478823536075652, 0.0005382320377975702, -0.007163417525589466, 0.00591804925352335, -0.0016785094048827887, 0.0]"
014,final,2022-12-09_pnp_soft_toys,2022-12-09_15-16-08,traj_group0,traj65,traj014_final.jpg,pick up the soft toy,"[-0.004682272206991911, 0.007022353354841471, -0.022066567093133926, -0.0078020114451646805, 0.060177091509103775, -0.008125701919198036, 0.9960784316062927]","[-0.004682272206991911, -0.017907151952385902, -0.0049180989153683186, -0.0691070556640625, -0.0784849002957344, -0.05164425075054169, 0.9960784316062927]","[-0.004011249635368586, 0.007022353354841471, 0.013529496267437935, 0.046478498727083206, 0.07759357243776321, 0.03378104791045189, 0.9960784316062927]","[-0.004682272206991911, -0.0030142010655254126, -0.018169187009334564, 0.05031006410717964, 0.011276966892182827, -0.008125701919198036, 0.9960784316062927]"
015,initial,2022-12-11_pnp_soft_toys,2022-12-11_15-54-32,traj_group0,traj54,traj015_initial.jpg,pick up the soft toy,"[-0.005800643470138311, -0.00010036268940893933, -0.015570934861898422, -0.002054663607850671, 0.05012911930680275, 0.0015450867358595133, 0.9960784316062927]","[-0.005800643470138311, -0.00010036268940893933, -0.015570934861898422, -0.003331851912662387, 0.04075101390480995, 0.0015450867358595133, 0.9960784316062927]","[-0.005800643470138311, -0.014022034592926502, 0.0028766596224159002, -0.01291076559573412, 0.0253441259264946, 0.00638048117980361, 0.9960784316062927]","[-0.014747613109648228, 0.0021659559570252895, 0.018466176465153694, 0.019657541066408157, -0.02489572763442993, -0.04197346046566963, 0.9960784316062927]"
015,final,2022-12-11_pnp_soft_toys,2022-12-11_15-54-32,traj_group0,traj54,traj015_final.jpg,pick up the soft toy,"[-0.015642309561371803, -0.011108196340501308, -0.00829582754522562, -0.0806017518043518, 0.05012911930680275, 0.15466590225696564, 0.9960784316062927]","[-0.015642309561371803, -0.014022034592926502, -0.014011983759701252, -0.0806017518043518, 0.022664666175842285, -0.20637686550617218, 0.9960784316062927]","[-0.003340226598083973, 0.007022353354841471, -0.004138622898608446, -0.021212490275502205, 0.04544006660580635, 0.0015450867358595133, 0.9960784316062927]","[-0.003787575289607048, 0.0008709167595952749, -0.013492332771420479, 0.015187380835413933, 0.04142087697982788, -0.006513903848826885, 0.9960784316062927]"
016,initial,2022-12-08_pnp_soft_toys,2022-12-08_19-41-31,traj_group0,traj52,traj016_initial.jpg,pick up the soft toy,"[-0.004234923515468836, -0.003337960923090577, -0.0025796713307499886, -0.01610373705625534, 0.02467426098883152, -0.0774330198764801, 0.9960784316062927]","[0.005830417387187481, 0.017058907076716423, -0.01790936291217804, -0.022489678114652634, 0.02467426098883152, -0.012961096130311489, 0.9960784316062927]","[0.003817348973825574, 0.02418162301182747, -0.0030993218533694744, 0.029875047504901886, -0.01484775636345148, 0.05634622275829315, 0.0]","[0.005830417387187481, -0.019849712029099464, -0.010374429635703564, -0.07613159716129303, -0.03762315586209297, -0.07904481887817383, 0.0]"
016,final,2022-12-08_pnp_soft_toys,2022-12-08_19-41-31,traj_group0,traj52,traj016_final.jpg,pick up the soft toy,"[0.002251629251986742, 0.007346113212406635, 0.008332990109920502, -0.005886228755116463, -0.01685735024511814, 0.009604076854884624, 0.9960784316062927]","[0.002251629251986742, 0.007346113212406635, 0.007553514558821917, -0.0014160692226141691, -0.014177892357110977, 0.009604076854884624, 0.9960784316062927]","[0.002027955139055848, -0.0007478823536075652, -0.008815477602183819, 0.0017769018886610866, -0.02221626788377762, -0.0016785094048827887, 0.0]","[-0.0017745069926604629, 0.0057273139245808125, -0.00855565257370472, 0.02668207697570324, 0.0018988610245287418, 0.0031568848062306643, 0.0]"
017,initial,2022-12-09_pnp_soft_toys,2022-12-09_16-31-56,traj_group0,traj107,traj017_initial.jpg,pick up the soft toy,"[0.009409205056726933, -0.003337960923090577, -0.007256526034325361, -0.0512264184653759, -0.05972869321703911, -0.016184691339731216, 0.9960784316062927]","[0.009409205056726933, -0.003337960923090577, -0.007256526034325361, -0.0512264184653759, -0.03896288573741913, -0.006513903848826885, 0.9960784316062927]","[0.009632878936827183, 0.030009301379323006, -0.0023198460694402456, 0.02476629428565502, -0.024225862696766853, 0.06440521031618118, 0.9960784316062927]","[-0.004458597861230373, -0.00042412252514623106, -0.006736875511705875, -0.002054663607850671, 0.03807155415415764, -0.0032903074752539396, 0.9960784316062927]"
017,final,2022-12-09_pnp_soft_toys,2022-12-09_16-31-56,traj_group0,traj107,traj017_final.jpg,pick up the soft toy,"[0.012093296274542809, 0.004108515102416277, -0.015830760821700096, -0.015465142205357552, -0.03695329278707504, -0.04197346046566963, 0.9960784316062927]","[0.012093296274542809, 0.003460995387285948, -0.007256526034325361, 0.028597859665751457, -0.013508027419447899, -0.0645386353135109, 0.9960784316062927]","[0.005830417387187481, 0.007022353354841471, -0.019987965002655983, 0.011994409374892712, 0.044100336730480194, 0.004768683109432459, 0.9960784316062927]","[0.01902719773352146, -0.012726996093988419, -0.001540370169095695, 0.0528644397854805, -0.03025464527308941, 0.04989903047680855, 0.9960784316062927]"
018,initial,pnp_utensils_12-01,2022-12-01_17-19-37,traj_group0,traj63,traj018_initial.jpg,pick up the utensil,"[-0.004458597861230373, 0.0005471569602377713, -0.01609058491885662, 0.0030540903098881245, 0.04677979648113251, -0.008125701919198036, 0.9960784316062927]","[-0.004458597861230373, 0.0005471569602377713, -0.015570934861898422, 0.0036926844622939825, 0.04008115082979202, -0.004902105778455734, 0.9960784316062927]","[-0.003340226598083973, 0.0005471569602377713, -0.011933381669223309, 0.0017769018886610866, 0.034722231328487396, 0.011215874925255775, 0.9960784316062927]","[-0.0035639009438455105, -0.0007478823536075652, -0.015570934861898422, -0.0014160692226141691, 0.04477020353078842, -0.004902105778455734, 0.9960784316062927]"
018,final,pnp_utensils_12-01,2022-12-01_17-19-37,traj_group0,traj63,traj018_final.jpg,pick up the utensil,"[0.004488371778279543, -0.0075468383729457855, -0.00024124380433931947, 0.015825975686311722, -0.012168297544121742, -0.025855479761958122, 0.9960784316062927]","[0.004488371778279543, -0.0075468383729457855, -0.00024124380433931947, 0.015825975686311722, -0.006809380371123552, -0.025855479761958122, 0.9960784316062927]","[0.002251629251986742, -0.0007478823536075652, 0.002097183605656028, 0.0043312786146998405, -0.00011073314090026543, -0.012961096130311489, 0.9960784316062927]","[0.004488371778279543, -0.004633000120520592, 0.005994562990963459, -0.011633576825261116, -0.006139515433460474, -0.009737499989569187, 0.9960784316062927]"
019,initial,2022-12-09_pnp_soft_toys,2022-12-09_15-16-08,traj_group0,traj116,traj019_initial.jpg,pick up the soft toy,"[-0.0013271585339680314, 0.004756034817546606, 0.008852641098201275, 0.015187380835413933, -0.01685735024511814, 0.012827672995626926, 0.9960784316062927]","[-0.0013271585339680314, 0.0018421962158754468, -0.0062172249890863895, -0.02440546080470085, 0.0018988610245287418, -0.008125701919198036, 0.9960784316062927]","[-0.006247991696000099, 0.0021659559570252895, 0.003656135406345129, -0.005247634835541248, -0.028245050460100174, 0.016051270067691803, 0.9960784316062927]","[-0.006247991696000099, -0.012726996093988419, -0.008815477602183819, -0.01227217074483633, 0.02936331368982792, -0.07420942187309265, 0.0]"
019,final,2022-12-09_pnp_soft_toys,2022-12-09_15-16-08,traj_group0,traj116,traj019_final.jpg,pick up the soft toy,"[0.002251629251986742, -0.013050755485892296, -0.0028394965920597315, -0.04356328770518303, -0.08250409364700317, -0.029079075902700424, 0.9960784316062927]","[0.002251629251986742, -0.013050755485892296, 0.001057882560417056, -0.021851085126399994, -0.01082856860011816, -0.0339144691824913, 0.9960784316062927]","[0.008961856365203857, -0.022763550281524658, -0.00829582754522562, -0.0723000317811966, -0.06575747579336166, -0.029079075902700424, 0.9960784316062927]","[-0.019444772973656654, 0.0008709167595952749, 0.008332990109920502, -0.004609040450304747, -0.03494369611144066, -0.04197346046566963, 0.9960784316062927]"
020,initial,2023-01-04_pnp_objects,2023-01-04_17-51-10,traj_group0,traj230,traj020_initial.jpg,pick up the object,"[-0.0019981812220066786, -0.005280519835650921, -0.007256526034325361, -0.055696580559015274, 0.03606196120381355, -0.0016785094048827887, 0.0]","[-0.0019981812220066786, -0.005280519835650921, -0.007256526034325361, -0.022489678114652634, -0.00011073314090026543, -0.012961096130311489, 0.9960784316062927]","[0.00023856115876697004, -0.00042412252514623106, 0.00027840674738399684, -0.00013888080138713121, -0.0014504624996334314, -0.0016785094048827887, 0.9960784316062927]","[-0.007142688613384962, -0.026648668572306633, 0.0007980572991073132, 0.010717221535742283, 0.014626290649175644, -0.05486784502863884, 0.0]"
