trajectory_id,initial_image,final_image,lang_original,prompt_normal,prompt_paraphrased,prompt_contradictory,prompt_neutral
11,traj011_initial.jpg,traj011_final.jpg,pick up the box cutter and put it into the drawer,In: What action should the robot take to pick up the box cutter and put it into the drawer?,In: What should the robot do to grasp the box cutter and put it into the drawer?,In: What action should the robot take to avoid pick up the box cutter and put it into the drawer and move away from the target area?,In: What action should the robot take?
12,traj012_initial.jpg,traj012_final.jpg,pick up the paper,In: What action should the robot take to pick up the paper?,In: What should the robot do to grasp the paper?,In: What action should the robot take to avoid pick up the paper and move away from the target area?,In: What action should the robot take?
13,traj013_initial.jpg,traj013_final.jpg,put the toy pizza in the drawer,In: What action should the robot take to put the toy pizza in the drawer?,In: What should the robot do to place the toy pizza in the drawer?,In: What action should the robot take to avoid put the toy pizza in the drawer and move away from the target area?,In: What action should the robot take?
14,traj014_initial.jpg,traj014_final.jpg,move the yellow cloth slightly backward to the edge of the table and to the left of the pot,In: What action should the robot take to move the yellow cloth slightly backward to the edge of the table and to the left of the pot?,In: What should the robot do to shift the yellow cloth slightly backward to the edge of the table and to the left of the pot?,In: What action should the robot take to avoid move the yellow cloth slightly backward to the edge of the table and to the left of the pot and move away from the target area?,In: What action should the robot take?
15,traj015_initial.jpg,traj015_final.jpg,place the drumstick on the back right corner of the table,In: What action should the robot take to place the drumstick on the back right corner of the table?,In: What should the robot do to set the drumstick on the back right corner of the table?,In: What action should the robot take to avoid place the drumstick on the back right corner of the table and move away from the target area?,In: What action should the robot take?
16,traj016_initial.jpg,traj016_final.jpg,turn the lever from vertical to the front,In: What action should the robot take to turn the lever from vertical to the front?,In: What should the robot do to rotate the lever from vertical to the front?,In: What action should the robot take to avoid turn the lever from vertical to the front and move away from the target area?,In: What action should the robot take?
17,traj017_initial.jpg,traj017_final.jpg,put the cover of the silver pot on the bottom right side of the table,In: What action should the robot take to put the cover of the silver pot on the bottom right side of the table?,In: What should the robot do to place the cover of the silver pot on the bottom right side of the table?,In: What action should the robot take to avoid put the cover of the silver pot on the bottom right side of the table and move away from the target area?,In: What action should the robot take?
18,traj018_initial.jpg,traj018_final.jpg,sweep into a pile,In: What action should the robot take to sweep into a pile?,In: What should the robot do to sweep into a pile?,In: What action should the robot take to avoid sweep into a pile and move away from the target area?,In: What action should the robot take?
19,traj019_initial.jpg,traj019_final.jpg,put the green object into the drawer,In: What action should the robot take to put the green object into the drawer?,In: What should the robot do to place the green object into the drawer?,In: What action should the robot take to avoid put the green object into the drawer and move away from the target area?,In: What action should the robot take?
20,traj020_initial.jpg,traj020_final.jpg,pick up the pan from the stove,In: What action should the robot take to pick up the pan from the stove?,In: What should the robot do to grasp the pan from the stove?,In: What action should the robot take to avoid pick up the pan from the stove and move away from the target area?,In: What action should the robot take?
21,traj021_initial.jpg,traj021_final.jpg,close the drawer,In: What action should the robot take to close the drawer?,In: What should the robot do to shut the drawer?,In: What action should the robot take to avoid close the drawer and move away from the target area?,In: What action should the robot take?
22,traj022_initial.jpg,traj022_final.jpg,flip the pot upright in the sink,In: What action should the robot take to flip the pot upright in the sink?,In: What should the robot do to turn the pot upright in the sink?,In: What action should the robot take to avoid flip the pot upright in the sink and move away from the target area?,In: What action should the robot take?
23,traj023_initial.jpg,traj023_final.jpg,move the orange object to the lower middle of the burner,In: What action should the robot take to move the orange object to the lower middle of the burner?,In: What should the robot do to shift the orange object to the lower middle of the burner?,In: What action should the robot take to avoid move the orange object to the lower middle of the burner and move away from the target area?,In: What action should the robot take?
24,traj024_initial.jpg,traj024_final.jpg,move the silver can to the right side,In: What action should the robot take to move the silver can to the right side?,In: What should the robot do to shift the silver can to the right side?,In: What action should the robot take to avoid move the silver can to the right side and move away from the target area?,In: What action should the robot take?
25,traj025_initial.jpg,traj025_final.jpg,move the blue brush on top of the blue cloth,In: What action should the robot take to move the blue brush on top of the blue cloth?,In: What should the robot do to shift the blue brush on top of the blue cloth?,In: What action should the robot take to avoid move the blue brush on top of the blue cloth and move away from the target area?,In: What action should the robot take?
26,traj026_initial.jpg,traj026_final.jpg,move the can into the middle of the table,In: What action should the robot take to move the can into the middle of the table?,In: What should the robot do to shift the can into the middle of the table?,In: What action should the robot take to avoid move the can into the middle of the table and move away from the target area?,In: What action should the robot take?
27,traj027_initial.jpg,traj027_final.jpg,put the cucumber in the cup,In: What action should the robot take to put the cucumber in the cup?,In: What should the robot do to place the cucumber in the cup?,In: What action should the robot take to avoid put the cucumber in the cup and move away from the target area?,In: What action should the robot take?
28,traj028_initial.jpg,traj028_final.jpg,move the purple cloth to the lower right of the table,In: What action should the robot take to move the purple cloth to the lower right of the table?,In: What should the robot do to shift the purple cloth to the lower right of the table?,In: What action should the robot take to avoid move the purple cloth to the lower right of the table and move away from the target area?,In: What action should the robot take?
29,traj029_initial.jpg,traj029_final.jpg,move the yellow object into the silver pot,In: What action should the robot take to move the yellow object into the silver pot?,In: What should the robot do to shift the yellow object into the silver pot?,In: What action should the robot take to avoid move the yellow object into the silver pot and move away from the target area?,In: What action should the robot take?
30,traj030_initial.jpg,traj030_final.jpg,unfold the cloth from top left to bottom right,In: What action should the robot take to unfold the cloth from top left to bottom right?,In: What should the robot do to unfold the cloth from top left to bottom right?,In: What action should the robot take to avoid unfold the cloth from top left to bottom right and move away from the target area?,In: What action should the robot take?
31,traj031_initial.jpg,traj031_final.jpg,open the brown box flap,In: What action should the robot take to open the brown box flap?,In: What should the robot do to open the brown box flap?,In: What action should the robot take to avoid open the brown box flap and move away from the target area?,In: What action should the robot take?
32,traj032_initial.jpg,traj032_final.jpg,put the red eggplant on the blue cloth,In: What action should the robot take to put the red eggplant on the blue cloth?,In: What should the robot do to place the red eggplant on the blue cloth?,In: What action should the robot take to avoid put the red eggplant on the blue cloth and move away from the target area?,In: What action should the robot take?
33,traj033_initial.jpg,traj033_final.jpg,reach the end effector toward the corn,In: What action should the robot take to reach the end effector toward the corn?,In: What should the robot do to move the end effector toward the corn?,In: What action should the robot take to avoid reach the end effector toward the corn and move away from the target area?,In: What action should the robot take?
34,traj034_initial.jpg,traj034_final.jpg,take the lid off the pot or pan,In: What action should the robot take to take the lid off the pot or pan?,In: What should the robot do to remove the lid off the pot or pan?,In: What action should the robot take to avoid take the lid off the pot or pan and move away from the target area?,In: What action should the robot take?
35,traj035_initial.jpg,traj035_final.jpg,pick up the glue and put it into the drawer,In: What action should the robot take to pick up the glue and put it into the drawer?,In: What should the robot do to grasp the glue and put it into the drawer?,In: What action should the robot take to avoid pick up the glue and put it into the drawer and move away from the target area?,In: What action should the robot take?
36,traj036_initial.jpg,traj036_final.jpg,put the green cloth into the dry cleaner,In: What action should the robot take to put the green cloth into the dry cleaner?,In: What should the robot do to place the green cloth into the dry cleaner?,In: What action should the robot take to avoid put the green cloth into the dry cleaner and move away from the target area?,In: What action should the robot take?
37,traj037_initial.jpg,traj037_final.jpg,sweep into a pile,In: What action should the robot take to sweep into a pile?,In: What should the robot do to sweep into a pile?,In: What action should the robot take to avoid sweep into a pile and move away from the target area?,In: What action should the robot take?
38,traj038_initial.jpg,traj038_final.jpg,open the cabinet,In: What action should the robot take to open the cabinet?,In: What should the robot do to open the cabinet?,In: What action should the robot take to avoid open the cabinet and move away from the target area?,In: What action should the robot take?
39,traj039_initial.jpg,traj039_final.jpg,put the silver lid on the silver pan,In: What action should the robot take to put the silver lid on the silver pan?,In: What should the robot do to place the silver lid on the silver pan?,In: What action should the robot take to avoid put the silver lid on the silver pan and move away from the target area?,In: What action should the robot take?
40,traj040_initial.jpg,traj040_final.jpg,open the fridge,In: What action should the robot take to open the fridge?,In: What should the robot do to open the fridge?,In: What action should the robot take to avoid open the fridge and move away from the target area?,In: What action should the robot take?
